Supplier name 1,Supplier name 2,Similarity score
EHI GMBH,EQ GMBH,80
COMSPORT,SPORT ECO,82
"INTEGRA COMUNICACION GLOBAL, S.L.",INTEGRA COMUNICACION GLOBAL S.L,100
SIEMENS COMMUNICATIONS LTD,SPIN COMMUNICATIONS LTD,90
SIEMENS COMMUNICATIONS LTD,"SPIN COMUNICATIONS, LTD",88
SIEMENS COMMUNICATIONS LTD,M-R-S COMMUNICATIONS LTD,84
A & S SPORTS MARKETING,JB SPORTS MARKETING AG,86
AMERICAN CHAMBER OF COMMERCE,AMERICAN CHAMBER OF COMMERCE/EUROPE,89
POULIS HONTELE BV,POULIS HONTELE,90
INTO LIGHTING DESIGN LIMITED,INTO LIGHTING DESIGN,83
EXHIBITS INTERNATIONAL B.V.,EXHIBITS INTERNATIONAL,92
"GOMEZ, ACEBO AND POMBO",GOMEZ-ACEBO AND POMBO,100
"GOMEZ, ACEBO AND POMBO",GOMEZ ACEBO & POMBO,89
"GOMEZ, ACEBO AND POMBO","GOMEZ, ACEBO & POMBO C.B.",86
CHRIS KAY INTERNATIONAL,CVS INTERNATIONAL,80
SNOW & ROCK,SNOW + ROCK,100
"ARTIVIDRIO, S.A.","ARTIVIDRIO,S.A.",100
FIT MEDIA,FM MEDIA,82
LPT PRODUCTIONS,FLEVO PRODUCTIONS,81
DUTCH HOUSING CENTR,DUTCH HOUSING CENTRE BV,90
DUTCH HOUSING CENTR,DUTCH HOUSING CENTRE B.V.,88
EL INTERNATIONALE,INTERNATIONAL HOTEL,89
EL INTERNATIONALE,ART INTERNATIONAL,82
EL INTERNATIONALE,CVS INTERNATIONAL,82
EL INTERNATIONALE,REX INTERNATIONAL BV,81
INTERTEK TESTING SERVICES,ITS INTERTEK TESTING SERVICES,93
"GOMEZ-ACEBO & POMBO, ABOGADOS, S.C.","GOMEZ-ACEBO & POMBO ABOGADOS, S.C.P",97
"GOMEZ-ACEBO & POMBO, ABOGADOS, S.C.",GOMEZ ACEBO ABOGADOS,80
HDC ASSOCIATES,HODSON ASSOCIATES,84
HDC ASSOCIATES,VIDAL ASSOCIATES,80
SUN PARKS INTERNATIONAL,INTERNATIONAL PAPER,81
BOAT & COMPANY,BEST COMPANY,83
AMZ GMBH,BAZ GMBH,88
LEGGETT FREIGHTWAYS (EUROPEAN),LEGGETT FREIGHTWAYS (EUR) LTD,84
PNO PRINTING,PRINTING PEOPLE,81
360 COMMUNICATIONS,MDS COMMUNICATION,80
HAUFE SERVICE CENTER GMBH,HAUFE SERVICE GMBH,84
CLIFFORD CHANCE LTD.,CLIFFORD CHANCE,88
CLIFFORD CHANCE LTD.,CLIFFORD CHANCE PÜNDER,85
CHRIS KAY LTD,CHRIS KAY LIMITED,87
CHRIS KAY LTD,CHRIS KAY,82
JTC ASSOCIATES LIMITED,PTR ASSOCIATES LIMITED,82
